Country,Commodity,Trade,2007,2008,2009,2010,2011
Australia,Agar agar nei,Export_regional,200,122,1,0 0,0 0
Australia,Coral and the like,Export_global,616,446,294,353,426
Australia,"Fish body oils, nei",Export_regional,448,302,1517,1282,1555
Australia,"Fish liver oils, nei",Export_global,68,59,69,98,113
Australia,Mother of pearl shells,Export_global,189,215,135,342,204
Australia,Ornamental fish nei,Export_global,5,1,8,48,26
Australia,Ornamental saltwater fish,Export_global,85,113,115,88,82
Australia,Other seaweeds and aquatic plants and products thereof,Export_global,3340,2690,1980,3240,2450
Australia,Shells nei,Export_regional,NA,NA,0,0,0
Vietnam,Agar agar nei,Export_global,0 0,2,2,1,0 0
Vietnam,Coral and the like,Export_global,2400,2600,3500,3000,3000
Vietnam,"Fish body oils, nei",Export_global,8200,29000,26000,30000,50660
Vietnam,"Fish liver oils, nei",Export_regional,7,5,15,3,53
Vietnam,Ornamental fish nei,Export_regional,74,84,121,200,189
Vietnam,Other seaweeds and aquatic plants and products thereof,Export_global,290,600,460,800,800
